"event","name","country","medal","day","win","sport","gender","type"
"Men's 4x100M - T11/12/13","","Indonesia","Silver",7,1,"Athletics","Men","Team"
"Men's 4x100M - T42/43/44/45/46/47","","Indonesia","Gold",7,1,"Athletics","Men","Team"
"Men's 4x100M - T42/43/44/45/46/47","","Thailand","Silver",7,1,"Athletics","Men","Team"
"Men's 4x100M - T42/43/44/45/46/47","","Vietnam","Bronze",7,1,"Athletics","Men","Team"
"Men's Discus Throw - F35/36/37","MUHAMMAD HAFIZ BIN ABU BAKAR","Malaysia","Gold",7,1,"Athletics","Men","Singles"
"Men's Discus Throw - F35/36/37","ZAKARIA BIN SAAD","Malaysia","Silver",7,1,"Athletics","Men","Singles"
"Men's Discus Throw - F35/36/37","THOMSON LIM KOK HONG","Malaysia","Bronze",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F33/34","VO VAN TUNG","Vietnam","Gold",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F33/34","DAVIS MACHANG","Malaysia","Silver",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F33/34","ALIHAN MUDA","Brunei Darussalam","Bronze",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F53/54/55","JOEL ADEGUE BALATUCAN","Philippines","Gold",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F53/54/55","RIADI SAPUTRA","Indonesia","Silver",7,1,"Athletics","Men","Singles"
"Men's Shot Put - F53/54/55","SAHRI BIN HJ JUMAAT","Brunei Darussalam","Bronze",7,1,"Athletics","Men","Singles"
"Women's 200M - T11","WANNARUEMON KEWALIN","Thailand","Gold",7,1,"Athletics","Women","Singles"
"Women's 200M - T11","RIANGRAIWILATKHEEREE SIRIRAT","Thailand","Silver",7,1,"Athletics","Women","Singles"
"Women's 200M - T11","NGUYEN THI NHAN","Vietnam","Bronze",7,1,"Athletics","Women","Singles"
"Women's 200M - T12","ENANG SARI SITORUS","Indonesia","Gold",7,1,"Athletics","Women","Singles"
"Women's 200M - T12","TANOMWONG SUNEEPORN","Thailand","Silver",7,1,"Athletics","Women","Singles"
"Women's 200M - T12","PRAWAT SUPUNNEE","Thailand","Bronze",7,1,"Athletics","Women","Singles"
"Mixed Pair - BC3","","Thailand","Gold",7,1,"Boccia","Mixed","Team"
"Mixed Pair - BC3","","Singapore","Silver",7,1,"Boccia","Mixed","Team"
"Mixed Pair - BC4","","Thailand","Gold",7,1,"Boccia","Mixed","Team"
"Mixed Team - BC1/BC2","","Thailand","Gold",7,1,"Boccia","Mixed","Team"
"Mixed Team - BC1/BC2","","Malaysia","Silver",7,1,"Boccia","Mixed","Team"
"Mixed Team - BC1/BC2","","Myanmar","Bronze",7,1,"Boccia","Mixed","Team"
"Men's Team","","Thailand","Gold",7,1,"Cerebal Palsy Football","Men","Team"
"Men's Team","","Myanmar","Silver",7,1,"Cerebal Palsy Football","Men","Team"
"Men's Team","","Singapore","Bronze",7,1,"Cerebal Palsy Football","Men","Team"
"Men's Team","","Thailand","Gold",7,1,"Goalball","Men","Team"
"Men's Team","","Malaysia","Silver",7,1,"Goalball","Men","Team"
"Men's Team","","Indonesia","Bronze",7,1,"Goalball","Men","Team"
"Women's Team","","Thailand","Gold",7,1,"Goalball","Women","Team"
"Women's Team","","Lao People's Democratic Republic","Silver",7,1,"Goalball","Women","Team"
"Men's Team","","Thailand","Gold",7,1,"Wheelchair Basketball","Men","Team"
"Men's Team","","Malaysia","Silver",7,1,"Wheelchair Basketball","Men","Team"
"Men's Team","","Philippines","Bronze",7,1,"Wheelchair Basketball","Men","Team"
